%Precio	A±os	Km	CV
2600	9	130000	61
9450	3	68602	90
10950	1	17725	68
4500	9	153305	109
8190	3	56798	69
6800	3	6654	60
10500	1	26441	68
6900	3	55764	75
8500	2	45900	68
4400	6	126000	69
2900	10	189000	69
6600	4	72000	68
3000	10	176500	71
9950	2	45430	92
7800	4	37000	102
4900	7	35699	61
8100	3	43254	71
7495	6	58635	90
3700	6	97000	75
9250	1	21010	68
5750	6	47000	109
5500	5	24000	61
6500	6	85000	95
12400	1	2	73
9900	1	23236	73
4975	7	87000	71
2500	9	175000	82
4000	8	119000	75
4500	8	97000	69
10500	2	5000	69
5500	7	79000	68
6300	5	92000	69
4000	8	130000	110
3200	10	109000	75
6500	7	120000	68
7995	3	31300	75
2000	10	115000	61
10000	2	1500	68
9300	2	27000	68
4630	4	58000	68
3500	9	110000	75
9700	3	29000	73
4340	9	103000	90
3750	10	108000	75
7800	4	62642	68
7900	2	29000	73
8400	2	44785	68
2900	9	98000	75
9950	2	46000	68
12000	2	8041	90
5200	8	90000	68
4500	6	100000	61
3800	4	129201	68
6300	5	91000	69
5200	6	74000	68
3500	9	130000	68
7400	5	57000	68
3000	10	71000	75
7400	3	24000	69
10900	2	24000	69
4500	7	113000	68
8900	2	51000	69
12900	2	43646	90
8900	3	45000	75
5900	6	71000	61
6100	5	93000	68
6400	5	120000	92
3000	10	190000	90
12600	1	20000	68
7800	4	64266	68
7400	3	24000	68
10950	1	9074	68
9500	1	10528	73
7600	3	99499	68
9500	2	44827	92
8500	3	37408	75
11600	0	0	68
9600	2	46623	68
6500	6	58000	68
14200	1	15	68
6500	5	40000	69
2599	10	120000	61
5900	5	112191	68
2000	11	130000	92
9900	2	45000	69
9950	1	22819	68
5900	7	86000	75
2950	9	104000	102
8400	2	45361	68
3500	7	149000	109
15500	1	1	68
8100	4	50000	68
10500	1	14460	68
4000	7	54000	61
11500	3	27262	68
3300	11	116000	102
3500	7	145000	68
4450	9	120000	90
9900	3	42000	73
8900	1	33482	68
12500	2	10	68
10750	1	7246	68
8975	1	4189	73
5000	5	87000	68
4200	9	72000	71
15200	1	1	68
7000	5	54000	75
10900	1	22900	69
10500	1	19915	68
8700	3	53434	69
3950	8	109300	75
9950	2	54452	92
5500	5	140000	68
10950	1	19020	68
4900	9	96000	75
8900	2	51000	69
3500	9	121000	68
8900	3	22900	75
8950	2	41000	68
4850	8	108000	69
