%Precio	Años	Km	CV
3200	10	99000	75
3960	10	105000	75
4900	7	115000	90
8500	3	47000	68
3000	8	89000	61
5300	4	112000	68
6900	5	40000	61
2700	10	100000	61
3950	10	110000	75
8750	3	35740	75
10600	1	20000	75
3800	8	90000	75
4900	7	74376	90
7900	3	51520	68
6700	4	87300	68
3600	8	100000	68
8990	2	41850	68
11900	2	47609	92
10500	1	21603	68
5900	4	28000	60
10900	2	14540	68
6000	9	41000	90
4000	9	34000	61
6820	3	39224	68
9600	3	81500	90
7900	3	18250	73
5900	5	68000	60
2900	8	130000	75
3600	9	69000	61
8800	3	49000	69
7900	3	35900	73
10800	2	42490	90
3750	10	142000	75
7600	7	53000	110
9700	1	25345	68
5995	10	45000	110
5000	7	84000	90
5290	8	82350	75
9700	2	49000	72
4900	8	100000	71
10500	2	52700	90
4800	7	59600	69
7990	2	56621	69
8900	1	25574	69
4000	8	200002	90
3895	7	34000	61
2375	9	125000	61
4600	6	120000	109
4900	5	139000	68
3490	9	97000	75
5900	5	122000	68
7300	3	24005	95
5000	7	150000	68
6700	6	67000	68
8700	1	1149	68
3900	7	124000	95
3900	9	134000	68
4600	7	56000	61
8990	2	24800	68
10900	1	14000	69
9900	1	20501	73
6900	4	58000	69
6500	6	81085	68
8500	2	20000	68
5600	5	77000	68
8900	3	50000	69
5000	5	70000	90
12200	1	6	68
7900	6	115000	69
10600	2	23000	92
8500	3	42000	75
5900	4	99832	68
10900	2	4000	95
7900	2	21300	73
4500	5	28000	82
8900	3	44040	68
4000	8	35000	75
2300	10	169000	75
5800	6	65000	60
3333	10	140000	109
11900	2	16800	92
9990	1	23920	68
5998	5	82000	68
4999	7	120000	68
3900	9	137000	68
10000	2	12500	90
10950	1	15407	68
4950	7	47000	60
6390	5	5480	61
4990	8	80900	68
8990	2	26700	68
5400	5	90000	69
5990	3	79000	68
3900	7	91000	60
2750	10	109000	75
6900	7	76000	68
1500	9	140000	90
12200	2	34900	90
2000	7	130000	68
8900	3	25000	69
2573	11	120000	68
4300	6	129000	69
5000	7	55000	68
4200	8	80000	68
10500	2	16000	68
10600	2	6050	68
13300	1	1564	92
9450	3	64896	90
8990	2	35400	68
3900	9	150000	90
9600	3	46007	71
9900	2	42735	68
8000	5	62000	68
4800	9	144000	109
12900	1	9127	92
6700	4	60018	68
7800	4	41000	68
4500	5	97000	68
8400	3	40863	75
6890	5	130500	68
4600	6	87048	61
4900	5	86000	68
3500	10	60000	68
10950	1	13754	68
5900	5	56000	90
9000	1	25062	73
3990	10	89478	75
6100	6	17500	90
15992	1	12000	68
3500	10	152000	68
11900	2	47609	92
4000	9	126000	90
6500	6	48000	68
10500	2	41700	90
9950	1	10430	68
8500	3	46314	68
13200	1	3620	90
12800	1	0	69
4900	7	72872	68
14850	1	1	68
11300	1	18605	68
8500	2	52272	68
6900	4	40983	73
4200	7	34000	68
11800	1	6400	68
5900	5	99000	68
5950	5	78000	69
5900	8	79000	71
8700	3	54000	73
3500	9	33000	75
5000	6	52000	75
5900	5	19633	61
14500	1	11216	92
3100	7	102000	90
4300	8	94000	109
3500	9	180000	95
9900	1	20501	73
5800	6	102523	68
6500	4	65380	68
10950	1	12518	68
3150	8	86000	61
8990	2	31050	68
8500	4	21500	68
10800	3	31000	69
13100	1	0	69
5990	7	82740	90
4950	6	65500	69
5500	8	58000	75
3300	11	116000	95
3900	8	102000	68
10000	2	45000	68
7500	3	22000	60
8700	1	24483	73
8990	2	37700	68
9900	2	43461	69
7800	3	97485	68
12800	2	3	68
9950	2	46000	68
9900	3	56000	90
4600	7	76300	75
5400	5	77951	69
5600	7	88000	92
11900	2	36600	90
3200	9	62000	75
9900	1	23236	73
10200	0	0	92
7500	3	49000	75
9500	3	16700	69
5990	5	89000	68
5900	8	100000	69
2990	10	150000	68
6900	4	60000	68
2750	9	90000	109
3500	6	90000	75
4900	10	69000	75
5490	6	103000	71
8800	2	44000	68
4500	9	90000	90
7200	5	55000	68
3600	9	79000	60
8900	3	56000	68
6900	4	122900	68
8200	2	53438	69
4800	7	35000	68
11300	0	5	73
9900	3	42000	73
2700	10	100000	61
3400	7	70000	61
6400	4	74998	69
9700	3	72330	90
5000	9	118000	122
4500	10	117000	61
5900	8	100000	69
6800	5	87000	71
8900	3	42620	68
9000	3	48670	95
3200	9	125000	114
5100	3	62000	69
13900	1	1915	68
5500	9	70000	75
9950	1	14806	68
